---------------------------- PROCESS STARTED (21585) for package com.progetto.tesi ----------------------------
2022-11-29 11:14:23.180 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 359 Pitch 3 Roll 359
2022-11-29 11:14:23.180 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:23.235 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 359 Pitch 3 Roll 0
2022-11-29 11:14:23.235 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:23.508 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 359 Pitch 3 Roll 359
2022-11-29 11:14:23.508 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:23.513 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 359
2022-11-29 11:14:23.513 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:23.561 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 1 Pitch 3 Roll 359
2022-11-29 11:14:23.561 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:23.613 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 2 Pitch 3 Roll 359
2022-11-29 11:14:23.613 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:23.785 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 2 Pitch 3 Roll 0
